School,Athletic Dept,Football Team,Men’s Basketball Team,Football Hashtag,Basketball Hashtag,Alternate Hashtag
Abilene Christian,@ACUsports,@ACUFootball,@ACU_MBB,#ACU,#ACU,
Air Force,@AF_Falcons,@AF_Football,@AF_MBB,#AFFalcons,#AFFalcons,#AirForce
Akron,@GoZipsUpdates,@ZipsFB,@ZipsMBB,#GoZips,#GoZips,
Alabama,@UA_Athletics,@AlabamaFTBL,@AlabamaMBB,#RollTide,#RollTide,
Alabama A&M,@AAMUBulldogs,@AAMUFB,@Bulldogs_Hoops,#AAMU,#AAMU,
Alabama State,@ASUBUZZ,@BamaStateFB,@BamaStateMBB,#myASU,#myASU,
Albany,@UAlbanySports,@UAlbanyFootball,@UAlbanyMBB,#GreatDanes,#GreatDanes,
Alcorn State,@BravesSports,@BravesSports,@BravesSports,#AlcornState,#AlcornState,
American,@AUEagles,,@AU_Mbasketball,,#AmericanUni,
Appalachian State,@AppStateSports,@AppState_FB,@AppStateMBB,#AppState,#AppState,
Arizona,@AZATHLETICS,@ArizonaFBall,@APlayersProgram,#BearDown,#BearDown,#UofA
Arizona State,@TheSunDevils,@ASUFootball,@SunDevilHoops,#SunDevils,#SunDevils,
Arkansas,@ArkRazorbacks,@RazorbackFB,@RazorbackMBB,#GoHogs,#GoHogs,
Arkansas State,@AStateRedWolves,@AStateFB,@AStateMB,#RedWolves,#RedWolves,
Arkansas-Pine Bluff,@UAPBLionsRoar,@UAPBLionsRoar,@UAPBLionsRoar,#UAPB,#UAPB,
Army,@GoArmyWestPoint,@ArmyWP_Football,@ArmyWP_MBB,#GoArmy,#GoArmy,
Auburn,@AuburnTigers,@AuburnFootball,@AuburnMBB,#WarEagle,#WarEagle,
Austin Peay,@LetsGoPeay,@AustinePeayFB,@AustinPeayMBB,#AustinPeay,#AustinPeay,
Ball State,@BallStateSports,@BallStateFB,@BallStateMBB,#BallState,#BallState,
Baylor,@BaylorAthletics,@BUFootball,@BaylorMBB,#Baylor,#Baylor,
Bellarmine,@BUKnights,,@BUKnightsMBB,#Bellarmine,#Bellarmine,
Belmont,@GoBelmontBruins,,@BelmontMBB,,#Belmont,
Bethune-Cookman,@BCUAthletics,@BCUGridiron,@BCUHoops,#BCU,#BCU,
Binghamton,@BU_Bearcats,,@BinghamtonMBB,,#Binghamton,
Boise State,@BroncoSports,@BroncoSportsFB,@BroncoSportsMBB,#BoiseState,#BoiseState,
Boston College,@BCEagles,@BCFootball,@BCMBB,#WeAreBC,#WeAreBC,#BCEagles
Boston University,@BUAthletics,,@TerrierMBB,#GoBU,#GoBU,
Bowling Green,@BGathletics,@BG_Football,@BGSUMHoops,#BowlingGreen,#BowlingGreen,
Bradley,@BradleyBraves,,@BradleyUMBB,,#Bradley,
Brown,@BrownAthletics,,@BrownBasketball,,#Brown,
Bryant,@BryantAthletics,@BryantUFootball,@BryantHoops,#Bryant,#Bryant,
Bucknell,@Bucknell_Bison,@Bucknell_FB,@Bucknell_MBB,#Bucknell,#Bucknell,
Buffalo,@UBAthletics,@UBFootball,@UBMensHoops,#UBHornsUp,#UBHornsUp,#UBuffalo
Butler,@ButlerAthletics,@ButlerUFootball,@ButlerMBB,#Butler,#Butler,
BYU,@BYUCougars,@BYUFootball,@BYUBasketball,#BYU,#BYU,
Cal Poly,@CPMustangs,@CalPolyFootball,@CalPolyMBB,#CalPoly,#CalPoly,
Cal State-Bakersfield,@CSUBAthletics,,@CSUB_MBB,,#CSUB,
Cal State-Fullerton,@FullertonTitans,,@FullertonMBB,,#CalStateFullerton,
Cal State-Northridge,@GoMatadors,,@CSUNMBB,,#CSUN,
California,@CalAthletics,@CalFootball,@CalMBBall,#Cal,#Cal,
California Baptist,@CBULancers,,@CBUmbb,,#CalBaptist,
Campbell,@GoCamels,@GoCamelsFB,@GoCamelsMBB,#Campbell,#Campbell,
Canisius,@GoGriffs,,@Griffs_MBB,,#Canisius,
Central Arkansas,@UCASports,@UCA_Football,@UCAMBB,#CentralArkansas,#CentralArkansas,
Central Connecticut State,@CCSUBlueDevils,@CCSUFootball,@CCSU_MBB,#CCSU,#CCSU,
Central Florida,@UCFKnights,@UCF_Football,@UCF_MBB,#UCF,#UCF,
Central Michigan,@CMUAthletics,@CMU_Football,@CMUMensBBall,#CentralMichigan,#CentralMichigan,
Charleston,@CofCSports,,@CofCBasketball,,#CofC,
Charleston Southern,@CSUSports,@CSUFB,@CSU_MBBall,#CSUBucs,#CSUBucs,
Charlotte,@Charlotte49ers,@CharlotteFTBL,@CharlotteMBB,#Charlotte,#Charlotte,
Chattanooga,@GoMocs,@GoMocsFB,@GoMocsMBB,#GoMocs,#GoMocs,
Chicago State,@ChiStateCougars,,@ChicagoStateMBB,,#ChicagoState,
Cincinnati,@GoBearcats,@GoBearcatsFB,@GoBearcatsMBB,#Bearcats,#Bearcats,
Clemson,@ClemsonTigers,@ClemsonFB,@ClemsonMBB,#Clemson,#Clemson,
Cleveland State,@CSU_Athletics,,@CSU_Basketball,,#ClevelandState,
Coastal Carolina,@GoCCUSports,@CoastalFootball,@CoastalMBB,#CCU,#CCU,
Colgate,@ColgateAthletic,@ColgateFB,@ColgateMBB,#Colgate,#Colgate,
Colorado,@CUBuffs,@RunRalphieRun,@CUBuffsMBB,#CUBuffs,#CUBuffs,
Colorado State,@CSURams,@CSUFootball,@CSUMBasketball,#CSURams,#CSURams,
Columbia,@GoColumbiaLions,@ColumbiaLionsFB,@CULionsMBB,#Columbia,#Columbia,
Connecticut,@UConnHuskies,@UConnFootball,@UConnMBB,#UConn,#UConn,
Coppin State,@CoppinSports,,@CoppinMBB,,#CoppinState,
Cornell,@CornellSports,@BigRed_Football,@CUBigRedHoops,#Cornell,#Cornell,
Creighton,@GoCreighton,,@BluejayMBB,,#Creighton,
Dartmouth,@DartmouthSports,@DartFootball,@DartmouthMBK,#Dartmouth,#Dartmouth,
Davidson,@DavidsonWildcat,@DavidsonFB,@DavidsonMBB,#Davidson,#Davidson,
Dayton,@DaytonFlyers,@DaytonFootball,@DaytonMBB,#GoFlyers,#GoFlyers,
Delaware,@UDBlueHens,@DelawareFB,@DelawareMBB,#BlueHens,#BlueHens,
Delaware State,@DSUHornets,@DelSt_Football,@DSUMBB,#DelState,#DelState,
Denver,@DU_Pioneers,,@DU_Mhoops,,#DenverU,
DePaul,@DePaulAthletics,,@DePaulHoops,,#DePaul,
Detroit,@DetroitTitans,,@DetroitMBB,,#DetroitU,
Dixie State,@DixieAthletics,@DixieState_FB,@DixieStateBball,##DixieBlazers,##DixieBlazers,
Drake,@DUBulldogs,@DrakeBulldogsFB,@DrakeBulldogsMB,#Drake,#Drake,
Drexel,@DrexelDragons,,@DrexelMBB,,#Drexel,
Duke,@DukeAthletics,@DukeFootball,@DukeMBB,#Duke,#Duke,
Duquesne,@GoDuquesne,@DuqFB,@DuqMBB,#Duquesne,#Duquesne,
East Carolina,@ECUAthletics,@ECUPiratesFB,@ECUBasketball,#ECU,#ECU,
East Tennessee State,@ETSUAthletics,@ETSUFootball,@ETSU_MBB,#ETSU,#ETSU,
Eastern Illinois,@EIU_Panthers,@EIUPantherFB,@EIUBasketball,#EIU,#EIU,
Eastern Kentucky,@EKUSports,@EKUFootball,@EKUHoops,#EKU,#EKU,
Eastern Michigan,@EMUAthletics,@EMUFB,@EMUHoops,#EMU,#EMU,
Eastern Washington,@EWUAthletics,@EWUFootball,@EWUMBB,#EWU,#EWU,
Elon,@ElonPhoenix,@ElonFootball,@ElonMBasketball,#Elon,#Elon,
Evansville,@UEAthletics,,@UEAthletics_MBB,,#Evansville,
Fairfield,@FairfieldStags,,@StagsMensBBall,,#Fairfield,
Fairleigh-Dickinson,@FDUKnights,@FDUFootball,@FDU_MBB,#FDU,#FDU,
Florida,@FloridaGators,@GatorsFB,@GatorsMBK,#Gators,#Gators,
Florida A&M,@FAMUAthletics,@FAMUAthletics,@FAMUAthletics,#FAMU,#FAMU,
Florida Atlantic,@FAUAthletics,@FAU_Football,@FAU_Hoops,#FAU,#FAU,
Florida Gulf Coast,@FGCUEagles,,@FGCU_MBB,,#FGCU,
Florida International,@FIUAthletics,@FIUFootball,@FIUHoops,#FIU,#FIU,
Florida State,@Seminoles,@FSUFootball,@FSUHoops,#Noles,#Noles,
Fordham,@FordhamRams,@FordhamFootball,@FordhamMBB,#Fordham,#Fordham,
Fresno State,@FSAthletics,@FresnoStateFB,@FresnoStateMBB,#FresnoState,#FresnoState,
Furman,@FurmanPaladins,@PaladinFootball,@FurmanHoops,#Furman,#Furman,
Gardner-Webb,@GWUSports,@GWUFootball,@GWU_MBK,#GardnerWebb,#GardnerWebb,
George Mason,@MasonAthletics,,@MasonMBB,,#GeorgeMason,
George Washington,@GW_Sports,,@GW_MBB,,#GWU,
Georgetown,@GeorgetownHoyas,@HoyasFB,@GeorgetownHoops,#Georgetown,#Georgetown,
Georgia,@UGAAthletics,@FootballUGA,@UGABasketball,#GoDawgs,#GoDawgs,
Georgia Southern,@GSAthletics,@GSAthletics_FB,@GSAthletics_MBB,#GeorgiaSouthern,#GeorgiaSouthern,
Georgia State,@GSUPanthers,@GeorgiaStateFB,@GeorgiaStateMBB,#GeorgiaState,#GeorgiaState,
Georgia Tech,@GTAthletics,@GeorgiaTechFB,@GTMBB,#GATech,#GATech,
Gonzaga,@GonzagaBulldgos,,@ZagMBB,,#Zags,#Gonzaga
Grambling,@GSU_Tigers,@GSU_Tigers,@GSU_Tigers,#Grambling,#Grambling,
Grand Canyon,@GCU_Lopes,,@GCU_MBB,,#GCU,
Green Bay,@GBPhoenix,,@GBPhoenixMBB,,#GBPhoenix,
Hampton,@HUAthletics1868,@Hampton_FB,@Hampton_MBB,#Hampton,#Hampton,
Hartford,@HartfordHawks,,@HartfordMBB,,#Hartford,
Harvard,@HarvardCrimson,@HarvardFootball,@HarvardMBB,#Harvard,#Harvard,
Hawaii,@HawaiiAthletics,@HawaiiFootball,@HawaiiMBB,#HawaiiFB,#HawaiiMBB,
High Point,@HighPointSports,,@HPUMBB,,#HighPoint,
Hofstra,@HofstraPride,,@HofstraMBB,,#Hofstra,
Holy Cross,@GoHolyCross,@HCrossFB,@HCrossMBB,#HolyCross,#HolyCross,
Houston,@UHCougars,@UHCougarFB,@UHCougarMBK,#GoCoogs,#GoCoogs,
Houston Baptist,@HBUHuskies,@HBU_Football,@HBUBasketball,#HoustonBaptist,#HoustonBaptist,
Howard,@HUBisonSports,@HUBisonFootball,@HUMensBB,#Howard,#Howard,
Idaho,@Idaho_Vandals,@VandalFootball,@VandalHoops,#Vandals,#Vandals,
Idaho State,@ISUBengals,@IdahoStateFB,@IdahoStateBBall,#IdahoState,#IdahoState,
Illinois,@IlliniAthletics,@IlliniFootball,@IlliniMBB,#Illini,#Illini,
Illinois State,@ISURedbirds,@RedbirdFB,@Redbird_MBB,#IllinoisState,#IllinoisState,
Illinois-Chicago,@UICFlames,,@UICFlamesMBB,#UIC,#UIC,
Incarnate Word,@UIWAthletics,@UIWFootball,@UIWMBB,#UIW,#UIW,
Indiana,@IUHoosiers,@IndianaFootball,@IndianaMBB,#IUFB,#IUBB,
Indiana State,@indstathletics,@IndianaStateFB,@IndStMBB,#IndianaState,#IndianaState,
Iona,@ICGaels,,@IonaGaelsMBB,,#Iona,
Iowa,@TheIowaHawkeyes,@HawkeyeFootball,@IowaHoops,#Hawkeyes,#Hawkeyes,
Iowa State,@CycloneATH,@CycloneFB,@CycloneMBB,#IowaState,#IowaState,
IUPUI,@IUPUIJaguars,,@IUPUIMensBBall,,#IUPUI,
Jackson State,@GoJSUTigers,@GoJSUTigersFB,@GoJSUTigersMBB,#JacksonState,#JacksonState,
Jacksonville,@JAX_Dolphins,@JAX_FB,@JAX_MBB,#JUDolphins,#JUDolphins,
Jacksonville State,@JSUGamecocks,@JSUGamecocksFB,@JSU_MBB,#JSUGamecocks,#JSUGamecocks,
James Madison,@JMUSports,@JMUFootball,@JMUMBasketball,#JMU,#JMU,
